directionId,distanceFromPoint,pointId,lineId
8161,1,8731,1
8731,0,8151,1
8161,0,8731,1
8731,1,8071,1
8162,1,8072,1
8731,0,8021,1
8161,0,8122,1
8162,0,8733,1
8161,0,8142,1
8161,0,8012,1
473,308,6805,19
5086,0,0470,19
473,0,5001,19
473,2,5088,19
473,920,5001,19
5086,0,6869,19
5086,115,4958,19
1194,48,4213,20
1900,44,1095,20
1900,347,1024,20
1194,0,1900,20
1307,367,1197,20
1194,186,1900,20
1194,346,2072,20
1900,160,1096,20
1900,0,4111,20
1194,0,1194,20
1194,289,1198,20
3201,220,3280,21
3201,97,1273,21
3201,0,1262,21
1262,316,3911,21
3201,170,3306,21
3201,330,3957,21
3201,0,1262,21
1262,0,3214,21
1262,109,3466,21
2429,0,1141,27
2429,1,2430,27
2429,187,1134,27
2429,0,3920,27
1262,408,1153,27
2429,0,1262,27
1262,15,1158,27
1000,84,4367,38
1000,0,1977,38
4075,129,1729,38
4075,38,1918,38
4075,66,6433,38
4075,0,1000,38
1000,11,1977,38
4075,756,3503,38
1000,109,1943,38
4075,44,3122,38
4075,112,1915,38
1000,9,1968,38
1000,0,1000,38
1000,0,1776,38
1000,2,1983,38
4075,32,2788,38
4075,317,1918,38
1385,0,2015,42
2015,0,1383,42
1385,102,9851,42
2015,191,1540,42
4076,66,1595,43
2109,157,1938,43
2109,0,2165,43
4076,34,2168,43
1938,0,4076,43
2109,7,2120,43
1938,142,1931,43
4076,283,2144,43
4076,291,1955,43
9556,598,5281,44
89,0,9557,44
89,244,9577,44
89,190,5657,44
9556,0,9556,44
89,0,0089,44
9556,468,5504,44
89,228,5562,44
89,447,5559,44
1201,345,2370,46
1201,42,1530,46
1201,393,3465,46
1201,43,3368,46
3369,0,3369,46
1201,507,2216,46
1201,265,2835,46
1201,181,1281,46
1201,50,3378,46
1201,100,1348,46
1201,0,2476,46
2403,43,1894,46
3717,0,3377,46
1201,0,2217,46
1201,167,2209,46
1201,183,4258,46
9863,0,2848,51
1289,0,5076,51
9863,356,0631,51
5009,349,5402,51
9863,354,0631,51
2848,12,6608,51
1289,0,5076,51
9863,0,6650,51
5009,0,1290,51
1289,0,5090,51
1780,0,1742,54
1742,0,1780,54
1780,231,2965,54
1742,279,2934,54
1780,393,2953,54
1780,748,2959,54
1742,61,2928,54
1443,0,1780,54
1780,166,7527,54
1742,0,1443,54
1742,0,1702,54
2701,51,3117,60
6464,316,3922,60
2701,0,2701,60
2701,210,1903,60
1425,42,1986,60
1425,591,1738,60
2701,343,1949,60
1425,320,3922,60
2701,153,1912,60
1900,5,9296,61
2289,385,1904,61
1900,186,6054,61
9996,0,1900,61
1900,0,2289,61
2289,0,1509,61
2289,301,6021,61
1900,129,6053,61
3337,209,6505,62
9051,433,5874,62
9051,405,3308,62
3337,477,2343,62
9051,171,5090,62
9051,0,3338,62
3337,355,5039,62
9051,600,2635,62
9051,38,6171,62
3337,0,9058,62
3337,56,2242,62
6442,112,3062,63
6442,0,3401,63
6442,14,3062,63
3401,0,6444,63
6442,68,3218,63
6442,308,3705,63
3401,42,1402,63
3401,89,1419,63
6442,0,3401,63
3401,3,3354,63
6442,0,3284,66
3288,131,2345,66
6442,163,3408,66
3288,1,3355,66
6442,38,3417,66
3288,12,6418,66
6442,68,3332,66
6442,514,3284,66
3288,51,6445,66
6442,77,3332,66
3288,265,3273,66
5740,38,3106,69
5740,0,9311,69
9311,303,5045,69
5740,0,9311,69
5740,40,3103,69
5407,0,3522,72
3520,0,3513,72
2382,0,1664,73
2382,0,3853,73
1662,88,3859,73
3415,36,2601,74
3074,42,2620,74
3074,0,2546,74
3415,430,2523,74
3415,122,2631,74
3074,21,1452,74
3074,0,3415,74
3415,69,3535,74
3415,0,3074,74
1951,83,1541,75
1486,0,1951,75
1486,0,1478,75
1951,414,1621,75
1486,0,1495,75
1951,0,1486,75
1486,283,1260,75
1951,27,1489,75
1486,0,5953,75
1638,0,1629,76
1629,0,1638,76
1638,0,1638,76
1629,42,1491,76
1638,0,1638,76
1695,323,5103,9
5169,99,5172,9
5169,0,1695,9
1695,58,1094,9
1695,0,5104,9
5169,290,1678,9
1695,0,5104,9
5169,9,0472,9
1695,0,0471,9
1695,0,1683,9
1695,68,1689,9
1695,0,1675,9
5169,227,1695,9
5169,0,1684,9
5169,433,1236,9
3431,96,6416,92
6934,318,5032,92
6934,436,5020,92
9990,314,2709,92
9990,88,5053,92
3431,136,6461,92
9990,0,6934,92
6934,267,5016,92
3431,144,6309,92
9990,0,6361,92
5320,665,6459,92
5320,0,6363,92
5320,218,6434,92
9990,0,6361,92
3431,72,6309,92
6934,0,5027,92
3431,0,5315,92
9990,134,6420,92
4318,46,3558,95
4318,0,1781,95
4318,0,1781,95
4318,392,1726,95
1781,38,4365,95
1781,330,4348,95
4318,126,4306,95
4318,60,1441,95
1781,0,1218,95
1781,259,4357,95
4318,60,4303,95
4318,0,4318,95
4318,433,1233,95
4318,17,3558,95
4318,614,1128,95
4318,230,4952,95
