stop_name,route_id,headsign,arrival,departure
GEROMPONT Avenue des Déportés 74,B0148-23325,,19:40:00,19:40:00
GEROMPONT Avenue des Déportés 74,B0148-23325,,19:26:00,19:26:00
AUTRE-EGLISE Gare,N2823-19520,,20:16:00,20:16:00
AUTRE-EGLISE Rue de la Mêlée 50,N2823-19520,,20:17:00,20:17:00
AUTRE-EGLISE Pont (Rue de la Gare),N2823-19520,,20:18:00,20:18:00
AUTRE-EGLISE Pont (Rue de la Gare),B0148-23325,,19:24:00,19:24:00
AUTRE-EGLISE Pont (Ch. Rowart),N2823-19520,,20:20:00,20:20:00
AUTRE-EGLISE Pont (Ch. Rowart),N2823-19520,,19:41:00,19:41:00
ALSEMBERG Winderickxplein,B0040-21810,,19:53:00,19:53:00
ALSEMBERG Winderickxplein,B0040-21810,,19:49:00,19:49:00
ARCHENNES Ancienne Station,B0023-22544,,19:55:00,19:55:00
ARCHENNES Ancienne Station,B0023-22544,,20:31:00,20:31:00
ARQUENNES Bois d'Arpes,B0072-19675,,21:10:00,21:10:00
ARQUENNES Bois d'Arpes,B0072-19675,,20:00:00,20:00:00
ARQUENNES Bois d'Arpes,B0074-19820,,19:34:00,19:34:00
ARQUENNES Bois d'Arpes,B0074-19820,,20:34:00,20:34:00
ARQUENNES Bois d'Arpes,B0072-19675,,20:02:00,20:02:00
ARQUENNES Bois d'Arpes,B0072-19675,,21:02:00,21:02:00
ARQUENNES Bois d'Arpes,B0074-19820,,19:53:00,19:53:00
ARQUENNES Bois d'Arpes,B0074-19820,,20:53:00,20:53:00
ARQUENNES Bon Conseil,B0074-19820,,19:36:00,19:36:00
ARQUENNES Bon Conseil,B0074-19820,,20:36:00,20:36:00
ARQUENNES Bon Conseil,B0074-19820,,19:51:00,19:51:00
ARQUENNES Bon Conseil,B0074-19820,,20:51:00,20:51:00
ARQUENNES Hameau Petit,B0072-19675,,21:11:00,21:11:00
ARQUENNES Hameau Petit,B0072-19675,,20:01:00,20:01:00
ARQUENNES Hameau Petit,B0074-19820,,19:35:00,19:35:00
ARQUENNES Hameau Petit,B0074-19820,,20:35:00,20:35:00
ARQUENNES Hameau Petit,B0072-19675,,20:01:00,20:01:00
ARQUENNES Hameau Petit,B0072-19675,,21:01:00,21:01:00
ARQUENNES Hameau Petit,B0074-19820,,19:51:00,19:51:00
ARQUENNES Hameau Petit,B0074-19820,,20:51:00,20:51:00
ARQUENNES Hameau Roland,B0072-19675,,21:14:00,21:14:00
ARQUENNES Hameau Roland,B0072-19675,,20:04:00,20:04:00
ARQUENNES Hameau Roland,B0072-19675,,19:58:00,19:58:00
ARQUENNES Hameau Roland,B0072-19675,,20:58:00,20:58:00
ARQUENNES Place,B0074-19820,,19:37:00,19:37:00
ARQUENNES Place,B0074-19820,,20:37:00,20:37:00
ARQUENNES Place,B0074-19820,,19:49:00,19:49:00
ARQUENNES Place,B0074-19820,,20:49:00,20:49:00
ARQUENNES Pont de Warchais,B0072-19675,,21:13:00,21:13:00
ARQUENNES Pont de Warchais,B0072-19675,,20:03:00,20:03:00
ARQUENNES Pont de Warchais,B0072-19675,,19:59:00,19:59:00
ARQUENNES Pont de Warchais,B0072-19675,,20:59:00,20:59:00
ARQUENNES Résidence,B0072-19675,,21:12:00,21:12:00
ARQUENNES Résidence,B0072-19675,,20:02:00,20:02:00
ARQUENNES Résidence,B0072-19675,,20:00:00,20:00:00
ARQUENNES Résidence,B0072-19675,,21:00:00,21:00:00
AUDERGHEM Métro Delta,B0611-21881,,20:06:00,20:06:00
AUDERGHEM Métro Delta,B0611-21881,,19:36:00,19:36:00
AUDERGHEM Métro Delta,B0611-21881,,19:35:00,19:35:00
AUDERGHEM Métro Delta,B0611-21881,,20:25:00,20:25:00
AUDERGHEM Herrmann-Debroux,B0543-20893,,19:51:00,19:51:00
AUDERGHEM Herrmann-Debroux,B0543-20893,,20:00:00,20:00:00
AUDERGHEM Rouge-Cloitre,B0543-20893,,20:02:00,20:02:00
AUDERGHEM Triomphe,B0611-21881,,20:07:00,20:07:00
AUDERGHEM Triomphe,B0611-21881,,19:37:00,19:37:00
AUDERGHEM Triomphe,B0611-21881,,19:34:00,19:34:00
AUDERGHEM Triomphe,B0611-21881,,20:24:00,20:24:00
AUDERGHEM ULB Jardin Massart,B0543-20893,,19:50:00,19:50:00
AUDERGHEM ULB Jardin Massart,B0543-20893,,20:01:00,20:01:00
BAULERS Alzémont,B0072-19675,,19:26:00,19:26:00
BAULERS Rue aux Cailloux,B0072-19675,,19:25:00,19:25:00
BAULERS Cité Baulers,B0072-19675,,19:28:00,19:28:00
BAULERS Ecole,B0072-19675,,19:24:00,19:24:00
BAULERS Eglise,B0072-19675,,19:24:00,19:24:00
BAULERS Eglise,B0072-19675,,19:24:00,19:24:00
BAULERS Hameau,B0072-19675,,19:25:00,19:25:00
BAULERS Avenue des Lilas,B0072-19675,,19:28:00,19:28:00
BAULERS Trigodet,B0072-19675,,19:27:00,19:27:00
BIERBEEK Sint-Theresiakapel,B0018-22153,,19:25:00,19:25:00
BRAINE-LE-CHATEAU Quatre Bras (Rue Libération),B0115-21811,,19:24:00,19:24:00
BRAINE-LE-CHATEAU Quatre Bras (Rue Libération),B0115-21811,,20:24:00,20:24:00
BRAINE-LE-CHATEAU Quatre Bras (Rue Libération),B0115-21811,,20:59:00,20:59:00
BRAINE-LE-CHATEAU Quatre Bras (Rue Libération),B0115-21811,,19:59:00,19:59:00
BRAINE-LE-CHATEAU Quatre Bras (Rue de Hal),B0114-21809,,19:54:00,19:54:00
BRAINE-LE-CHATEAU Quatre Bras (Rue de Hal),B0114-21809,,19:35:00,19:35:00
BRAINE-LE-CHATEAU Quatre Bras (Rue de Hal),B0114-21809,,20:35:00,20:35:00
BRAINE-LE-CHATEAU Cheval Blanc,B0114-21809,,19:55:00,19:55:00
BRAINE-LE-CHATEAU Cheval Blanc,B0114-21809,,19:34:00,19:34:00
BRAINE-LE-CHATEAU Cheval Blanc,B0114-21809,,20:34:00,20:34:00
BRAINE-LE-CHATEAU Le Drabbe,B0115-21811,,20:23:00,20:23:00
BRAINE-LE-CHATEAU Le Drabbe,B0115-21811,,21:23:00,21:23:00
BRAINE-LE-CHATEAU Le Drabbe,B0114-21809,,19:52:00,19:52:00
BRAINE-LE-CHATEAU Le Drabbe,B0115-21811,,21:01:00,21:01:00
BRAINE-LE-CHATEAU Le Drabbe,B0115-21811,,20:01:00,20:01:00
BRAINE-LE-CHATEAU Le Drabbe,B0114-21809,,19:37:00,19:37:00
BRAINE-LE-CHATEAU Le Drabbe,B0114-21809,,20:37:00,20:37:00
BRAINE-LE-CHATEAU Godeaux,B0115-21811,,19:26:00,19:26:00
BRAINE-LE-CHATEAU Godeaux,B0115-21811,,20:26:00,20:26:00
BRAINE-LE-CHATEAU Godeaux,B0115-21811,,20:57:00,20:57:00
BRAINE-LE-CHATEAU Godeaux,B0115-21811,,19:57:00,19:57:00
BRAINE-LE-CHATEAU Maison 38,B0114-21809,,19:56:00,19:56:00
BRAINE-LE-CHATEAU Maison 38,B0114-21809,,19:33:00,19:33:00
BRAINE-LE-CHATEAU Maison 38,B0114-21809,,20:33:00,20:33:00
BRAINE-LE-CHATEAU Rue Notre Dame au Bois,B0115-21811,,19:25:00,19:25:00
BRAINE-LE-CHATEAU Rue Notre Dame au Bois,B0115-21811,,20:25:00,20:25:00
BRAINE-LE-CHATEAU Rue Notre Dame au Bois,B0115-21811,,20:58:00,20:58:00
BRAINE-LE-CHATEAU Rue Notre Dame au Bois,B0115-21811,,19:58:00,19:58:00
BRAINE-LE-CHATEAU Pilori,B0115-21811,,19:25:00,19:25:00
BRAINE-LE-CHATEAU Pilori,B0115-21811,,20:25:00,20:25:00
BRAINE-LE-CHATEAU Pilori,B0115-21811,,20:59:00,20:59:00
BRAINE-LE-CHATEAU Pilori,B0115-21811,,19:59:00,19:59:00
BRAINE-LE-CHATEAU Rue des Radoux,B0115-21811,,21:00:00,21:00:00
BRAINE-LE-CHATEAU Rue des Radoux,B0115-21811,,20:00:00,20:00:00
BRAINE-LE-CHATEAU Rue des Radoux,B0114-21809,,19:36:00,19:36:00
BRAINE-LE-CHATEAU Rue des Radoux,B0114-21809,,20:36:00,20:36:00
BRAINE-LE-CHATEAU Rue des Radoux,B0115-21811,,19:24:00,19:24:00
BRAINE-LE-CHATEAU Rue des Radoux,B0115-21811,,20:24:00,20:24:00
BRAINE-LE-CHATEAU Rue des Radoux,B0114-21809,,19:53:00,19:53:00
BRAINE-LE-CHATEAU Usines Meurice,B0115-21811,,19:27:00,19:27:00
BRAINE-LE-CHATEAU Usines Meurice,B0115-21811,,20:27:00,20:27:00
BRAINE-LE-CHATEAU Usines Meurice,B0115-21811,,20:57:00,20:57:00
BRAINE-LE-CHATEAU Usines Meurice,B0115-21811,,19:57:00,19:57:00
BRAINE-LE-COMTE Barrière d'Enghien,B0116-23365,,19:37:00,19:37:00
BRAINE-LE-COMTE Barrière d'Enghien,B0116-23365,,20:37:00,20:37:00
BRAINE-LE-COMTE Barrière d'Enghien,B0116-23365,,20:23:00,20:23:00
BRAINE-LE-COMTE Barrière d'Enghien,B0116-23365,,21:23:00,21:23:00
BRAINE-LE-COMTE Route d'Ecaussinnes,B0116-23365,,19:26:00,19:26:00
BRAINE-LE-COMTE Route d'Ecaussinnes,B0116-23365,,20:26:00,20:26:00
BRAINE-LE-COMTE Ecoles,B0116-23365,,19:34:00,19:34:00
BRAINE-LE-COMTE Ecoles,B0116-23365,,20:34:00,20:34:00
BRAINE-LE-COMTE Ecoles,B0116-23365,,19:25:00,19:25:00
BRAINE-LE-COMTE Ecoles,B0116-23365,,20:25:00,20:25:00
BRAINE-LE-COMTE Gare - Quai 1,B0116-23365,,19:33:00,19:33:00
BRAINE-LE-COMTE Gare - Quai 1,B0116-23365,,20:33:00,20:33:00
BRAINE-LE-COMTE Gare - Quai 1,B0116-23365,,19:27:00,19:27:00
BRAINE-LE-COMTE Gare - Quai 1,B0116-23365,,20:27:00,20:27:00
BRAINE-LE-COMTE Place,B0116-23365,,19:35:00,19:35:00
BRAINE-LE-COMTE Place,B0116-23365,,20:35:00,20:35:00
BRAINE-LE-COMTE Place,B0116-23365,,19:24:00,19:24:00
BRAINE-LE-COMTE Place,B0116-23365,,20:24:00,20:24:00
BRAINE-LE-COMTE Lion Noir,B0116-23365,,19:36:00,19:36:00
BRAINE-LE-COMTE Lion Noir,B0116-23365,,20:36:00,20:36:00
BRAINE-LE-COMTE Lion Noir,B0116-23365,,19:24:00,19:24:00
BRAINE-LE-COMTE Lion Noir,B0116-23365,,20:24:00,20:24:00
BRAINE-LE-COMTE Prestremont,B0116-23365,,19:38:00,19:38:00
BRAINE-LE-COMTE Prestremont,B0116-23365,,20:38:00,20:38:00
BRAINE-LE-COMTE Prestremont,B0116-23365,,20:22:00,20:22:00
BRAINE-LE-COMTE Prestremont,B0116-23365,,21:22:00,21:22:00
BRAINE-LE-COMTE Chemin Royal,B0116-23365,,19:39:00,19:39:00
BRAINE-LE-COMTE Chemin Royal,B0116-23365,,20:39:00,20:39:00
BRAINE-LE-COMTE Chemin Royal,B0116-23365,,20:21:00,20:21:00
BRAINE-LE-COMTE Chemin Royal,B0116-23365,,21:21:00,21:21:00
BRAINE-LE-COMTE Rue de Serbie,B0116-23365,,19:34:00,19:34:00
BRAINE-LE-COMTE Rue de Serbie,B0116-23365,,20:34:00,20:34:00
BEAUVECHAIN Aérodrome P1,B0018-22153,,19:48:00,19:48:00
BEAUVECHAIN Aérodrome P5,B0018-22153,,19:44:00,19:44:00
LA BRUYÈRE Rue de Mélin,B0018-22153,,19:46:00,19:46:00
BEAUVECHAIN Chapelle,B0018-22153,,19:44:00,19:44:00
LA BRUYÈRE Eglise,B0018-22153,,19:46:00,19:46:00
BEAUVECHAIN Monument,B0018-22153,,19:43:00,19:43:00
BEAUVECHAIN Rue Neuve,B0018-22153,,19:47:00,19:47:00
BEAUVECHAIN Rue de la Station,B0018-22153,,19:42:00,19:42:00
"BIERGES ""La Réserve""",B0020-23346,,19:51:00,19:51:00
"BIERGES ""La Réserve""",B0020-23346,,20:51:00,20:51:00
"BIERGES ""La Réserve""",B0020-23346,,19:38:00,19:38:00
"BIERGES ""La Réserve""",B0020-23346,,20:10:00,20:10:00
BIERGES Pont Autoroute,B0036-21813,,20:23:00,20:23:00
BIERGES Pont Autoroute,B0022-23347,,19:34:00,19:34:00
BIERGES Pont Autoroute,B0036-21813,,19:36:00,19:36:00
BIERGES Pont Autoroute,B0036-21813,,20:36:00,20:36:00
BIERGES Village,B0036-21813,,20:21:00,20:21:00
BIERGES Village,B0022-23347,,19:33:00,19:33:00
BIERGES Village,B0036-21813,,19:38:00,19:38:00
BIERGES Village,B0036-21813,,20:38:00,20:38:00
BIERGES Walibi,B0036-21813,,20:20:00,20:20:00
BIERGES Walibi,B0022-23347,,19:31:00,19:31:00
